Point No,Type,Block No,Block Name,Longitude,Latitude,Easting UTM,Northing UTM,UTM Zone,Azimuth (deg),Distance (m),Elevation (m),Verified,Remarks
P1104,interpolated,4,Block 4,85.0457442,27.4332007,306834.94,3035935.78,45,259.88,20.00,461.00,No,
P1105,interpolated,4,Block 4,85.0455447,27.4331691,306815.16,3035932.59,45,259.88,20.00,461.00,No,
P1106,interpolated,4,Block 4,85.0453452,27.4331375,306795.38,3035929.40,45,259.88,7.02,462.00,No,
P1107,vertex,4,Block 4,85.0452752,27.4331264,306788.44,3035928.28,45,264.00,20.00,462.00,No,
P1108,interpolated,4,Block 4,85.0450736,27.4331076,306768.48,3035926.51,45,264.00,20.00,461.00,No,
P1109,interpolated,4,Block 4,85.0448721,27.4330888,306748.52,3035924.74,45,264.00,20.00,459.00,No,
P1110,interpolated,,,85.0446705,27.4330699,306728.56,3035922.96,45,264.00,20.00,459.00,No,
P1111,interpolated,,,85.0444690,27.4330511,306708.60,3035921.19,45,264.00,20.00,459.00,No,
P1112,interpolated,,,85.0442675,27.4330323,306688.65,3035919.42,45,264.00,20.00,459.00,No,
P1113,interpolated,,,85.0440659,27.4330135,306668.69,3035917.65,45,264.00,20.00,457.00,No,
P1114,interpolated,,,85.0438644,27.4329947,306648.73,3035915.88,45,264.00,3.77,455.00,No,
P1115,vertex,4,Block 4,85.0438264,27.4329912,306644.97,3035915.55,45,309.48,20.00,455.00,No,
P1116,interpolated,,,85.0436700,27.4331055,306629.70,3035928.46,45,309.48,20.00,455.00,No,
P1117,interpolated,4,Block 4,85.0435136,27.4332199,306614.44,3035941.38,45,309.48,20.00,460.00,No,
P1118,interpolated,,,85.0433572,27.4333342,306599.18,3035954.28,45,309.48,20.00,460.00,No,
P1119,interpolated,4,Block 4,85.0432008,27.4334486,306583.92,3035967.20,45,309.48,20.00,460.00,No,
P1120,interpolated,,,85.0430443,27.4335629,306568.64,3035980.11,45,309.48,20.00,463.00,No,
P1121,interpolated,,,85.0428879,27.4336773,306553.38,3035993.03,45,309.48,20.00,463.00,No,
P1122,interpolated,,,85.0427315,27.4337916,306538.12,3036005.94,45,309.48,20.00,466.00,No,
P1123,interpolated,4,Block 4,85.0425751,27.4339060,306522.85,3036018.86,45,309.48,5.73,466.00,No,
P1124,vertex,4,Block 4,85.0425303,27.4339388,306518.48,3036022.56,45,338.56,20.00,466.00,No,
P1125,interpolated,4,Block 4,85.0424562,27.4341062,306511.45,3036041.23,45,338.56,20.00,470.00,No,
P1126,interpolated,,,85.0423821,27.4342736,306504.42,3036059.89,45,338.56,20.00,470.00,No,
P1127,interpolated,,,85.0423080,27.4344410,306497.38,3036078.56,45,338.56,20.00,477.00,No,
P1128,interpolated,4,Block 4,85.0422340,27.4346084,306490.36,3036097.22,45,338.56,20.00,468.00,No,
P1129,interpolated,4,Block 4,85.0421599,27.4347759,306483.32,3036115.89,45,338.56,13.19,468.00,No,
P1130,vertex,,,85.0421110,27.4348863,306478.68,3036128.20,45,53.13,20.00,466.00,No,
P1131,interpolated,,,85.0422731,27.4349942,306494.90,3036139.91,45,53.13,20.00,467.00,No,
P1132,interpolated,4,Block 4,85.0424353,27.4351021,306511.12,3036151.61,45,53.13,20.00,468.00,No,
P1133,interpolated,4,Block 4,85.0425974,27.4352100,306527.33,3036163.31,45,53.13,20.00,469.00,No,
P1134,interpolated,4,Block 4,85.0427596,27.4353179,306543.56,3036175.02,45,53.13,14.06,469.00,No,
P1135,vertex,,,85.0428735,27.4353938,306554.95,3036183.25,45,356.43,20.00,479.00,No,
P1136,interpolated,,,85.0428609,27.4355733,306554.02,3036203.16,45,356.43,20.00,479.00,No,
P1137,interpolated,,,85.0428483,27.4357528,306553.09,3036223.07,45,356.43,20.00,487.00,No,
P1138,interpolated,4,Block 4,85.0428357,27.4359323,306552.15,3036242.98,45,356.43,0.32,493.00,No,
P1139,vertex,4,Block 4,85.0428355,27.4359352,306552.14,3036243.30,45,276.81,20.00,493.00,No,
P1140,interpolated,4,Block 4,85.0426343,27.4359566,306532.28,3036245.98,45,276.81,20.00,488.00,No,
P1141,interpolated,4,Block 4,85.0424330,27.4359779,306512.42,3036248.65,45,276.81,20.00,482.00,No,
P1142,interpolated,,,85.0422318,27.4359992,306492.57,3036251.33,45,276.81,20.00,478.00,No,
P1143,interpolated,4,Block 4,85.0420306,27.4360206,306472.71,3036254.01,45,276.81,20.00,478.00,No,
P1144,interpolated,,,85.0418294,27.4360419,306452.86,3036256.68,45,276.81,20.00,477.00,No,
P1145,interpolated,,,85.0416281,27.4360632,306433.00,3036259.36,45,276.81,20.00,476.00,No,
P1146,interpolated,4,Block 4,85.0414269,27.4360846,306413.14,3036262.04,45,276.81,20.00,475.00,No,
P1147,interpolated,,,85.0412257,27.4361059,306393.29,3036264.72,45,276.81,20.00,475.00,No,
P1148,interpolated,4,Block 4,85.0410245,27.4361273,306373.43,3036267.40,45,276.81,20.00,475.00,No,
P1149,interpolated,4,Block 4,85.0408232,27.4361486,306353.57,3036270.08,45,276.81,20.00,475.00,No,
P1150,interpolated,,,85.0406220,27.4361699,306333.72,3036272.75,45,276.81,20.00,478.00,No,
P1151,interpolated,4,Block 4,85.0404208,27.4361913,306313.86,3036275.43,45,276.81,13.88,478.00,No,
P1152,vertex,4,Block 4,85.0402811,27.4362061,306300.08,3036277.29,45,261.47,20.00,480.00,No,
P1153,interpolated,,,85.0400807,27.4361794,306280.22,3036274.65,45,261.47,20.00,479.00,No,
P1154,interpolated,,,85.0398803,27.4361527,306260.36,3036272.00,45,261.47,20.00,471.00,No,
P1155,interpolated,4,Block 4,85.0396799,27.4361261,306240.50,3036269.36,45,261.47,20.00,467.00,No,
P1156,interpolated,4,Block 4,85.0394794,27.4360994,306220.63,3036266.72,45,261.47,20.00,471.00,No,
P1157,interpolated,,,85.0392790,27.4360727,306200.77,3036264.07,45,261.47,20.00,477.00,No,
P1158,interpolated,,,85.0390786,27.4360460,306180.91,3036261.43,45,261.47,20.00,477.00,No,
P1159,interpolated,4,Block 4,85.0388782,27.4360194,306161.05,3036258.79,45,261.47,12.18,478.00,No,
P1160,vertex,,,85.0387561,27.4360031,306148.96,3036257.18,45,283.78,20.00,478.00,No,
P1161,interpolated,4,Block 4,85.0385593,27.4360460,306129.57,3036262.24,45,283.78,20.00,479.00,No,
P1162,interpolated,,,85.0383625,27.4360888,306110.19,3036267.29,45,283.78,20.00,477.00,No,
P1163,interpolated,4,Block 4,85.0381656,27.4361317,306090.80,3036272.35,45,283.78,20.00,479.00,No,
P1164,interpolated,,,85.0379688,27.4361745,306071.42,3036277.40,45,283.78,20.00,485.00,No,
P1165,interpolated,4,Block 4,85.0377720,27.4362174,306052.04,3036282.46,45,283.78,20.00,487.00,No,
P1166,interpolated,,,85.0375752,27.4362602,306032.66,3036287.51,45,283.78,20.00,490.00,No,
P1167,interpolated,,,85.0373783,27.4363031,306013.27,3036292.57,45,283.78,20.00,491.00,No,
P1168,interpolated,4,Block 4,85.0371815,27.4363460,305993.88,3036297.63,45,283.78,20.00,491.00,No,
P1169,interpolated,,,85.0369847,27.4363888,305974.50,3036302.68,45,283.78,20.00,489.00,No,
P1170,interpolated,4,Block 4,85.0367879,27.4364317,305955.12,3036307.74,45,283.78,5.32,481.00,No,
P1171,vertex,4,Block 4,85.0367355,27.4364431,305949.96,3036309.08,45,328.50,20.00,488.00,No,
P1172,interpolated,,,85.0366296,27.4365964,305939.76,3036326.24,45,328.50,20.00,488.00,No,
P1173,interpolated,,,85.0365237,27.4367498,305929.56,3036343.40,45,328.50,16.62,488.00,No,
P1174,vertex,5,Block 5,85.0364357,27.4368773,305921.08,3036357.66,45,27.10,20.00,488.00,No,
P1175,interpolated,5,Block 5,85.0365280,27.4370374,305930.49,3036375.26,45,27.10,20.00,493.00,No,
P1176,interpolated,5,Block 5,85.0366203,27.4371975,305939.89,3036392.85,45,27.10,20.00,502.00,No,
P1177,interpolated,5,Block 5,85.0367126,27.4373576,305949.30,3036410.45,45,27.10,20.00,506.00,No,
P1178,interpolated,4,Block 4,85.0368050,27.4375177,305958.71,3036428.04,45,27.10,9.70,510.00,No,
P1179,vertex,5,Block 5,85.0368497,27.4375954,305963.27,3036436.58,45,23.36,20.00,510.00,No,
P1180,interpolated,4,Block 4,85.0369301,27.4377605,305971.51,3036454.75,45,23.36,20.00,521.00,No,
P1181,interpolated,5,Block 5,85.0370104,27.4379257,305979.73,3036472.93,45,23.36,20.00,524.00,No,
P1182,interpolated,4,Block 4,85.0370908,27.4380908,305987.97,3036491.10,45,23.36,20.00,524.00,No,
P1183,interpolated,5,Block 5,85.0371711,27.4382559,305996.20,3036509.27,45,23.36,20.00,532.00,No,
P1184,interpolated,4,Block 4,85.0372515,27.4384210,306004.44,3036527.44,45,23.36,20.00,534.00,No,
P1185,interpolated,5,Block 5,85.0373318,27.4385862,306012.66,3036545.62,45,23.36,20.00,534.00,No,
P1186,interpolated,4,Block 4,85.0374122,27.4387513,306020.90,3036563.78,45,23.36,2.60,551.00,No,
P1187,vertex,5,Block 5,85.0374226,27.4387728,306021.97,3036566.15,45,24.45,20.00,551.00,No,
P1188,interpolated,4,Block 4,85.0375065,27.4389365,306030.55,3036584.16,45,24.45,20.00,547.00,No,
P1189,interpolated,4,Block 4,85.0375904,27.4391002,306039.13,3036602.17,45,24.45,20.00,547.00,No,
P1190,interpolated,5,Block 5,85.0376742,27.4392640,306047.70,3036620.18,45,24.45,20.00,557.00,No,
P1191,interpolated,4,Block 4,85.0377581,27.4394277,306056.28,3036638.19,45,24.45,20.00,561.00,No,
P1192,interpolated,4,Block 4,85.0378420,27.4395914,306064.86,3036656.20,45,24.45,7.86,561.00,No,
P1193,vertex,5,Block 5,85.0378749,27.4396558,306068.23,3036663.28,45,35.27,20.00,561.00,No,
P1194,interpolated,4,Block 4,85.0379920,27.4398026,306080.06,3036679.37,45,35.27,20.00,581.00,No,
P1195,interpolated,5,Block 5,85.0381090,27.4399495,306091.88,3036695.46,45,35.27,20.00,582.00,No,
P1196,interpolated,5,Block 5,85.0382260,27.4400963,306103.71,3036711.54,45,35.27,20.00,593.00,No,
P1197,interpolated,4,Block 4,85.0383431,27.4402431,306115.54,3036727.63,45,35.27,20.00,598.00,No,
P1198,interpolated,5,Block 5,85.0384601,27.4403900,306127.36,3036743.72,45,35.27,20.00,598.00,No,
P1199,interpolated,5,Block 5,85.0385771,27.4405368,306139.19,3036759.81,45,35.27,20.00,607.00,No,
P1200,interpolated,4,Block 4,85.0386942,27.4406836,306151.02,3036775.89,45,35.27,9.43,607.00,No,
P1201,vertex,4,Block 4,85.0387494,27.4407529,306156.60,3036783.48,45,40.77,20.00,616.00,No,
P1202,interpolated,4,Block 4,85.0388817,27.4408891,306169.91,3036798.37,45,40.77,20.00,616.00,No,
P1203,interpolated,4,Block 4,85.0390140,27.4410253,306183.23,3036813.25,45,40.77,20.00,623.00,No,
P1204,interpolated,5,Block 5,85.0391463,27.4411615,306196.55,3036828.14,45,40.77,20.00,632.00,No,
P1205,interpolated,5,Block 5,85.0392787,27.4412978,306209.88,3036843.03,45,40.77,20.00,638.00,No,
P1206,interpolated,5,Block 5,85.0394110,27.4414340,306223.19,3036857.92,45,40.77,13.93,647.00,No,
P1207,vertex,5,Block 5,85.0395032,27.4415289,306232.47,3036868.29,45,45.00,20.00,647.00,No,
P1208,interpolated,4,Block 4,85.0396465,27.4416560,306246.86,3036882.15,45,45.00,20.00,655.00,No,
P1209,interpolated,4,Block 4,85.0397898,27.4417832,306261.25,3036896.02,45,45.00,20.00,655.00,No,
P1210,interpolated,5,Block 5,85.0399331,27.4419104,306275.64,3036909.89,45,45.00,20.00,664.00,No,
P1211,interpolated,5,Block 5,85.0400764,27.4420376,306290.03,3036923.76,45,45.00,20.00,664.00,No,
P1212,interpolated,5,Block 5,85.0402197,27.4421647,306304.42,3036937.62,45,45.00,9.41,678.00,No,
P1213,vertex,5,Block 5,85.0402872,27.4422246,306311.19,3036944.15,45,49.64,20.00,678.00,No,
P1214,interpolated,4,Block 4,85.0404416,27.4423410,306326.66,3036956.81,45,49.64,20.00,685.00,No,
P1215,interpolated,4,Block 4,85.0405960,27.4424575,306342.13,3036969.48,45,49.64,20.00,687.00,No,
P1216,interpolated,4,Block 4,85.0407505,27.4425740,306357.60,3036982.15,45,49.64,18.10,698.00,No,
P1217,vertex,4,Block 4,85.0408902,27.4426794,306371.60,3036993.61,45,60.65,20.00,693.00,No,
P1218,interpolated,4,Block 4,85.0410669,27.4427676,306389.22,3037003.10,45,60.65,20.00,703.00,No,
P1219,interpolated,5,Block 5,85.0412435,27.4428558,306406.83,3037012.60,45,60.65,20.00,711.00,No,
P1220,interpolated,4,Block 4,85.0414201,27.4429439,306424.44,3037022.09,45,60.65,20.00,716.00,No,
P1221,interpolated,4,Block 4,85.0415968,27.4430321,306442.07,3037031.59,45,60.65,20.00,724.00,No,
P1222,interpolated,5,Block 5,85.0417734,27.4431203,306459.68,3037041.08,45,60.65,9.25,724.00,No,
P1223,vertex,5,Block 5,85.0418551,27.4431611,306467.83,3037045.48,45,81.57,20.00,724.00,No,
P1224,interpolated,4,Block 4,85.0420556,27.4431874,306487.69,3037048.08,45,81.57,20.00,740.00,No,
P1225,interpolated,5,Block 5,85.0422561,27.4432138,306507.56,3037050.69,45,81.57,20.00,743.00,No,
P1226,interpolated,5,Block 5,85.0424566,27.4432402,306527.43,3037053.31,45,81.57,20.00,743.00,No,
P1227,interpolated,4,Block 4,85.0426571,27.4432665,306547.29,3037055.91,45,81.57,20.00,744.00,No,
P1228,interpolated,5,Block 5,85.0428575,27.4432929,306567.15,3037058.52,45,81.57,20.00,747.00,No,
P1229,interpolated,4,Block 4,85.0430580,27.4433192,306587.02,3037061.12,45,81.57,20.00,747.00,No,
P1230,interpolated,4,Block 4,85.0432585,27.4433456,306606.88,3037063.74,45,81.57,10.40,747.00,No,
P1231,vertex,4,Block 4,85.0433627,27.4433593,306617.21,3037065.09,45,359.16,20.00,751.00,No,
P1232,interpolated,5,Block 5,85.0433598,27.4435392,306617.24,3037085.03,45,359.16,20.00,752.00,No,
P1233,interpolated,5,Block 5,85.0433568,27.4437190,306617.25,3037104.96,45,359.16,20.00,745.00,No,
P1234,interpolated,5,Block 5,85.0433538,27.4438989,306617.27,3037124.90,45,359.16,20.00,745.00,No,
P1235,interpolated,5,Block 5,85.0433508,27.4440787,306617.29,3037144.82,45,359.16,20.00,738.00,No,
P1236,interpolated,5,Block 5,85.0433478,27.4442585,306617.30,3037164.75,45,359.16,20.00,732.00,No,
P1237,interpolated,5,Block 5,85.0433448,27.4444384,306617.32,3037184.69,45,359.16,20.00,732.00,No,
P1238,interpolated,5,Block 5,85.0433418,27.4446182,306617.34,3037204.62,45,359.16,20.00,727.00,No,
P1239,interpolated,5,Block 5,85.0433389,27.4447981,306617.37,3037224.55,45,359.16,20.00,722.00,No,
P1240,interpolated,5,Block 5,85.0433359,27.4449779,306617.38,3037244.48,45,359.16,20.00,722.00,No,
P1241,interpolated,5,Block 5,85.0433329,27.4451578,306617.40,3037264.42,45,359.16,20.00,712.00,No,
P1242,interpolated,5,Block 5,85.0433299,27.4453376,306617.42,3037284.35,45,359.16,20.00,702.00,No,
P1243,interpolated,5,Block 5,85.0433269,27.4455175,306617.44,3037304.28,45,359.16,20.00,708.00,No,
P1244,interpolated,5,Block 5,85.0433239,27.4456973,306617.45,3037324.21,45,359.16,20.00,702.00,No,
P1245,interpolated,5,Block 5,85.0433209,27.4458771,306617.47,3037344.14,45,359.16,20.00,691.00,No,
P1246,interpolated,5,Block 5,85.0433180,27.4460570,306617.50,3037364.08,45,359.16,20.00,691.00,No,
P1247,interpolated,5,Block 5,85.0433150,27.4462368,306617.52,3037384.00,45,359.16,20.00,685.00,No,
P1248,interpolated,5,Block 5,85.0433120,27.4464167,306617.53,3037403.94,45,359.16,20.00,675.00,No,
P1249,interpolated,5,Block 5,85.0433090,27.4465965,306617.55,3037423.87,45,359.16,20.00,675.00,No,
P1250,interpolated,5,Block 5,85.0433060,27.4467764,306617.57,3037443.81,45,359.16,20.00,666.00,No,
P1251,interpolated,5,Block 5,85.0433030,27.4469562,306617.58,3037463.74,45,359.16,20.00,666.00,No,
P1252,interpolated,5,Block 5,85.0433001,27.4471361,306617.61,3037483.67,45,359.16,20.00,666.00,No,
P1253,interpolated,5,Block 5,85.0432971,27.4473159,306617.63,3037503.60,45,359.16,20.00,661.00,No,
P1254,interpolated,5,Block 5,85.0432941,27.4474957,306617.64,3037523.53,45,359.16,20.00,652.00,No,
P1255,interpolated,5,Block 5,85.0432911,27.4476756,306617.66,3037543.47,45,359.16,20.00,652.00,No,
P1256,interpolated,5,Block 5,85.0432881,27.4478554,306617.68,3037563.39,45,359.16,20.00,640.00,No,
P1257,interpolated,5,Block 5,85.0432851,27.4480353,306617.70,3037583.33,45,359.16,20.00,629.00,No,
P1258,interpolated,5,Block 5,85.0432821,27.4482151,306617.71,3037603.26,45,359.16,20.00,629.00,No,
P1259,interpolated,5,Block 5,85.0432792,27.4483950,306617.74,3037623.20,45,359.16,20.00,619.00,No,
P1260,interpolated,5,Block 5,85.0432762,27.4485748,306617.76,3037643.12,45,359.16,20.00,611.00,No,
P1261,interpolated,5,Block 5,85.0432732,27.4487547,306617.78,3037663.06,45,359.16,20.00,611.00,No,
P1262,interpolated,5,Block 5,85.0432702,27.4489345,306617.79,3037682.99,45,359.16,20.00,609.00,No,
P1263,interpolated,5,Block 5,85.0432672,27.4491143,306617.81,3037702.92,45,359.16,20.00,603.00,No,
P1264,interpolated,5,Block 5,85.0432642,27.4492942,306617.83,3037722.86,45,359.16,20.00,603.00,No,
P1265,interpolated,5,Block 5,85.0432612,27.4494740,306617.84,3037742.78,45,359.16,20.00,597.00,No,
P1266,interpolated,5,Block 5,85.0432583,27.4496539,306617.87,3037762.72,45,359.16,20.00,594.00,No,
P1267,interpolated,5,Block 5,85.0432553,27.4498337,306617.89,3037782.65,45,359.16,20.00,594.00,No,
P1268,interpolated,5,Block 5,85.0432523,27.4500136,306617.91,3037802.58,45,359.16,20.00,582.00,No,
P1269,interpolated,5,Block 5,85.0432493,27.4501934,306617.92,3037822.51,45,359.16,20.00,577.00,No,
P1270,interpolated,5,Block 5,85.0432463,27.4503733,306617.94,3037842.45,45,359.16,20.00,577.00,No,
P1271,interpolated,5,Block 5,85.0432433,27.4505531,306617.96,3037862.38,45,359.16,20.00,573.00,No,
P1272,interpolated,5,Block 5,85.0432403,27.4507329,306617.98,3037882.30,45,359.16,20.00,573.00,No,
P1273,interpolated,5,Block 5,85.0432374,27.4509128,306618.00,3037902.24,45,359.16,20.00,573.00,No,
P1274,interpolated,5,Block 5,85.0432344,27.4510926,306618.02,3037922.17,45,359.16,20.00,562.00,No,
P1275,interpolated,5,Block 5,85.0432314,27.4512725,306618.04,3037942.11,45,359.16,20.00,556.00,No,
P1276,interpolated,5,Block 5,85.0432284,27.4514523,306618.06,3037962.04,45,359.16,20.00,556.00,No,
P1277,interpolated,5,Block 5,85.0432254,27.4516322,306618.07,3037981.97,45,359.16,20.00,546.00,No,
P1278,interpolated,5,Block 5,85.0432224,27.4518120,306618.09,3038001.90,45,359.16,20.00,540.00,No,
P1279,interpolated,5,Block 5,85.0432194,27.4519919,306618.11,3038021.84,45,359.16,20.00,540.00,No,
P1280,interpolated,5,Block 5,85.0432165,27.4521717,306618.13,3038041.77,45,359.16,20.00,534.00,No,
P1281,interpolated,5,Block 5,85.0432135,27.4523515,306618.15,3038061.69,45,359.16,20.00,524.00,No,
P1282,interpolated,5,Block 5,85.0432105,27.4525314,306618.17,3038081.63,45,359.16,20.00,524.00,No,
P1283,interpolated,5,Block 5,85.0432075,27.4527112,306618.19,3038101.56,45,359.16,20.00,528.00,No,
P1284,interpolated,5,Block 5,85.0432045,27.4528911,306618.20,3038121.50,45,359.16,20.00,538.00,No,
P1285,interpolated,5,Block 5,85.0432015,27.4530709,306618.22,3038141.42,45,359.16,20.00,538.00,No,
P1286,interpolated,5,Block 5,85.0431985,27.4532508,306618.24,3038161.36,45,359.16,20.00,546.00,No,
P1287,interpolated,5,Block 5,85.0431955,27.4534306,306618.26,3038181.29,45,359.16,20.00,548.00,No,
P1288,interpolated,5,Block 5,85.0431926,27.4536105,306618.28,3038201.23,45,359.16,20.00,548.00,No,
P1289,interpolated,5,Block 5,85.0431896,27.4537903,306618.30,3038221.16,45,359.16,20.00,535.00,No,
P1290,interpolated,5,Block 5,85.0431866,27.4539701,306618.32,3038241.08,45,359.16,20.00,512.00,No,
P1291,interpolated,5,Block 5,85.0431836,27.4541500,306618.34,3038261.02,45,359.16,20.00,512.00,No,
P1292,interpolated,5,Block 5,85.0431806,27.4543298,306618.35,3038280.95,45,359.16,20.00,501.00,No,
P1293,interpolated,5,Block 5,85.0431776,27.4545097,306618.37,3038300.89,45,359.16,20.00,496.00,No,
P1294,interpolated,5,Block 5,85.0431746,27.4546895,306618.39,3038320.81,45,359.16,20.00,496.00,No,
P1295,interpolated,5,Block 5,85.0431717,27.4548694,306618.41,3038340.75,45,359.16,20.00,490.00,No,
P1296,interpolated,5,Block 5,85.0431687,27.4550492,306618.43,3038360.68,45,359.16,20.00,483.00,No,
P1297,interpolated,5,Block 5,85.0431657,27.4552291,306618.45,3038380.62,45,359.16,20.00,483.00,No,
P1298,interpolated,5,Block 5,85.0431627,27.4554089,306618.47,3038400.54,45,359.16,20.00,477.00,No,
P1299,interpolated,5,Block 5,85.0431597,27.4555887,306618.48,3038420.47,45,359.16,20.00,472.00,No,
P1300,interpolated,5,Block 5,85.0431567,27.4557686,306618.50,3038440.41,45,359.16,13.22,472.00,No,
P1301,vertex,,,85.0431548,27.4558875,306618.52,3038453.59,45,142.13,20.00,470.00,No,
P1302,interpolated,,,85.0432792,27.4557455,306630.57,3038437.66,45,142.13,20.00,472.00,No,
P1303,interpolated,5,Block 5,85.0434036,27.4556035,306642.62,3038421.73,45,142.13,20.00,471.00,No,
P1304,interpolated,5,Block 5,85.0435280,27.4554615,306654.67,3038405.80,45,142.13,20.00,475.00,No,
P1305,interpolated,,,85.0436525,27.4553195,306666.72,3038389.88,45,142.13,20.00,477.00,No,
P1306,interpolated,5,Block 5,85.0437769,27.4551775,306678.77,3038373.95,45,142.13,20.00,486.00,No,
P1307,interpolated,,,85.0439013,27.4550356,306690.82,3038358.03,45,142.13,8.70,488.00,No,
P1308,vertex,5,Block 5,85.0439554,27.4549738,306696.06,3038351.10,45,150.07,20.00,493.00,No,
P1309,interpolated,5,Block 5,85.0440565,27.4548179,306705.78,3038333.67,45,150.07,20.00,493.00,No,
P1310,interpolated,,,85.0441577,27.4546620,306715.52,3038316.24,45,150.07,20.00,507.00,No,
P1311,interpolated,5,Block 5,85.0442588,27.4545061,306725.24,3038298.80,45,150.07,20.00,507.00,No,
P1312,interpolated,5,Block 5,85.0443599,27.4543502,306734.96,3038281.37,45,150.07,20.00,523.00,No,
P1313,interpolated,,,85.0444610,27.4541944,306744.68,3038263.95,45,150.07,20.00,537.00,No,
P1314,interpolated,5,Block 5,85.0445621,27.4540385,306754.40,3038246.52,45,150.07,20.00,537.00,No,
P1315,interpolated,,,85.0446633,27.4538826,306764.13,3038229.09,45,150.07,3.27,544.00,No,
P1316,vertex,,,85.0446798,27.4538571,306765.72,3038226.24,45,165.33,20.00,548.00,No,
P1317,interpolated,5,Block 5,85.0447311,27.4536831,306770.49,3038206.88,45,165.33,20.00,548.00,No,
P1318,interpolated,,,85.0447825,27.4535091,306775.26,3038187.52,45,165.33,20.00,559.00,No,
P1319,interpolated,,,85.0448338,27.4533351,306780.03,3038168.16,45,165.33,20.00,570.00,No,
P1320,interpolated,5,Block 5,85.0448851,27.4531611,306784.80,3038148.80,45,165.33,20.00,570.00,No,
P1321,interpolated,,,85.0449365,27.4529871,306789.58,3038129.44,45,165.33,20.00,575.00,No,
P1322,interpolated,,,85.0449878,27.4528131,306794.34,3038110.08,45,165.33,20.00,572.00,No,
P1323,interpolated,5,Block 5,85.0450391,27.4526391,306799.11,3038090.72,45,165.33,20.00,572.00,No,
P1324,interpolated,,,85.0450905,27.4524651,306803.89,3038071.36,45,165.33,3.35,571.00,No,
P1325,vertex,,,85.0450991,27.4524359,306804.69,3038068.11,45,144.67,20.00,571.00,No,
P1326,interpolated,,,85.0452163,27.4522892,306816.02,3038051.67,45,144.67,20.00,577.00,No,
P1327,interpolated,,,85.0453335,27.4521425,306827.35,3038035.24,45,144.67,20.00,577.00,No,
P1328,interpolated,5,Block 5,85.0454507,27.4519957,306838.68,3038018.79,45,144.67,20.00,579.00,No,
P1329,interpolated,5,Block 5,85.0455679,27.4518490,306850.00,3038002.35,45,144.67,20.00,584.00,No,
P1330,interpolated,,,85.0456852,27.4517023,306861.34,3037985.91,45,144.67,20.00,586.00,No,
P1331,interpolated,5,Block 5,85.0458024,27.4515555,306872.67,3037969.47,45,144.67,20.00,593.00,No,
P1332,interpolated,,,85.0459196,27.4514088,306884.00,3037953.03,45,144.67,20.00,598.00,No,
P1333,interpolated,,,85.0460368,27.4512621,306895.33,3037936.59,45,144.67,20.00,602.00,No,
P1334,interpolated,5,Block 5,85.0461540,27.4511153,306906.66,3037920.14,45,144.67,20.00,606.00,No,
P1335,interpolated,,,85.0462713,27.4509686,306918.00,3037903.71,45,144.67,20.00,605.00,No,
P1336,interpolated,,,85.0463885,27.4508219,306929.33,3037887.27,45,144.67,20.00,612.00,No,
P1337,interpolated,5,Block 5,85.0465057,27.4506751,306940.66,3037870.82,45,144.67,13.68,614.00,No,
P1338,vertex,,,85.0465859,27.4505748,306948.41,3037859.58,45,152.25,20.00,618.00,No,
P1339,interpolated,,,85.0466803,27.4504156,306957.47,3037841.80,45,152.25,20.00,624.00,No,
P1340,interpolated,5,Block 5,85.0467746,27.4502564,306966.51,3037824.01,45,152.25,20.00,624.00,No,
P1341,interpolated,5,Block 5,85.0468690,27.4500972,306975.56,3037806.22,45,152.25,20.00,639.00,No,
P1342,interpolated,,,85.0469634,27.4499381,306984.62,3037788.45,45,152.25,20.00,639.00,No,
P1343,interpolated,,,85.0470578,27.4497789,306993.67,3037770.66,45,152.25,20.00,650.00,No,
P1344,interpolated,,,85.0471522,27.4496197,307002.73,3037752.87,45,152.25,20.00,652.00,No,
P1345,interpolated,5,Block 5,85.0472465,27.4494605,307011.77,3037735.09,45,152.25,20.00,652.00,No,
P1346,interpolated,5,Block 5,85.0473409,27.4493013,307020.83,3037717.30,45,152.25,1.56,666.00,No,
P1347,vertex,,,85.0473483,27.4492889,307021.54,3037715.92,45,155.67,20.00,666.00,No,
P1348,interpolated,5,Block 5,85.0474318,27.4491250,307029.50,3037697.62,45,155.67,20.00,655.00,No,
P1349,interpolated,,,85.0475153,27.4489612,307037.47,3037679.35,45,155.67,20.00,666.00,No,
P1350,interpolated,5,Block 5,85.0475988,27.4487973,307045.44,3037661.06,45,155.67,20.00,674.00,No,
P1351,interpolated,5,Block 5,85.0476823,27.4486334,307053.41,3037642.76,45,155.67,20.00,670.00,No,
P1352,interpolated,,,85.0477659,27.4484695,307061.39,3037624.48,45,155.67,20.00,682.00,No,
P1353,interpolated,,,85.0478494,27.4483056,307069.36,3037606.18,45,155.67,20.00,682.00,No,
P1354,interpolated,,,85.0479329,27.4481417,307077.33,3037587.89,45,155.67,20.00,688.00,No,
P1355,interpolated,,,85.0480164,27.4479779,307085.30,3037569.62,45,155.67,13.44,699.00,No,
P1356,vertex,5,Block 5,85.0480725,27.4478677,307090.65,3037557.32,45,184.77,20.00,699.00,No,
P1357,interpolated,,,85.0480557,27.4476885,307088.68,3037537.49,45,184.77,20.00,708.00,No,
P1358,interpolated,,,85.0480388,27.4475092,307086.70,3037517.65,45,184.77,20.00,708.00,No,
